 @ Data used in                                                                                  @
 @ Martin Lettau and Sydney Ludvigson "Consumption, Aggregat Wealth and Expected Stock Returns"  @
 @ and                                                                                           @
 @ Martin Lettau and Sydney Ludvigson "Resurrecting the (C)CAPM: A Cross-Sectional Test When 	 @
 @                                     Risk Premia Are Time-Varying" 				 @
 @																								 @
 @ See papers for a detailed description of the data.  Variables are in natural logs.  Missing   @
 @ values are denoted as -99.                                                                    @
 @ date: 9/16/99                                                                                 @
 
 @ ****** IMPORTANT ********                                                                     @ 
 @ The wealth variable is measured at the BEGINNING OF PERIOD, e.g. the observation              @
 @ in 1953Q1 is wealth as of January 1 1953!							 @
 @ This convention is different from the standard timing convention used to compute              @
 @ dividend-price ratios, which uses END OF PERIOD variables.                                    @
 
 @ Quarter consumption c  asset wealth a  labor income y    cay= c-0.3054a-0.5891y               @
 198204  9.5177462061819 11.128753328831 9.3492884639901    0.6116613648801
 198301  9.5237334750987 11.143546712290 9.3508394755130    0.6122171750987
 198302  9.5331622264269 11.163566734347 9.3566248758410    0.6121239120671
 198303  9.5420615109240 11.178523533296 9.3648153623503    0.6116306761014
 198304  9.5490729163724 11.176041146701 9.3769850324182    0.6122313234926
 198401  9.5529499448889 11.168069628893 9.3888907113043    0.6115294467808
 198402  9.5608637371003 11.163789756335 9.3997323619990    0.6143637248971
 198403  9.5673533591777 11.164810670715 9.4065037017626    0.6165527327147
 198404  9.5740017023263 11.185506785088 9.4105956594573    0.6144701542106
 198501  9.5837312973963 11.197400458364 9.4098675687213    0.6209964062122
 198502  9.5894404924686 11.214743632196 9.4268292683142    0.6114173870449
 198503  9.5968511433272 11.229300506716 9.4230679379757    0.6165981808290
 198504  9.6037099047072 11.229784718418 9.4281210917629    0.6203323754014
 198601  9.6075801356072 11.261408620048 9.4361053876875    0.6098415322217
 198602  9.6106356835267 11.291853816330 9.4429744293325    0.5995529439652
 198603  9.6139114659678 11.311527131226 9.4466735593406    0.5946415658864
 198604  9.6215138158035 11.301543587023 9.4501685576788    0.6032339997949
 198701  9.6299356873827 11.324515059111 9.4585078458315    0.5997280707990
 198702  9.6369061283267 11.361156035423 9.4486572918722    0.6013113417211
 198703  9.6395249594638 11.363338872290 9.4591483067089    0.5970835440986
 198704  9.6437574764663 11.373351319889 9.4684360992416    0.5927871139343
 198801  9.6544595576610 11.334363409016 9.4816540849850    0.6076094289270
 198802  9.6610724268071 11.353223547798 9.4841127647344    0.6070141953632
 198803  9.6686454854755 11.361380135914 9.4865524549290    0.6106591264637
 198804  9.6734247263996 11.359914797639 9.4887751271844    0.6145765483221
 198901  9.6736278185811 11.370881187022 9.4874549980335    0.6122082390555
 198902  9.6721838950512 11.380062340122 9.4785489712905    0.6132067833772
 198903  9.6753630642173 11.394552850474 9.4853854766629    0.6079334312141
 198904  9.6810696147888 11.410023847968 9.4898632626355    0.6062774917543
 199001  9.6836849569503 11.408419302506 9.4992275522232    0.6038665718763
 199002  9.6891015258318 11.395462362274 9.5010232475164    0.6121822977560
 199003  9.6915868894963 11.391160053310 9.4983935542443    0.6175306455974
 199004  9.6842287947139 11.355802030006 9.4909541093924    0.6253530405778
 199101  9.6780778325982 11.363045461982 9.4902527359711    0.6174031477441
 199102  9.6809617232761 11.385137282950 9.4965648899713    0.6098220133105
 199103  9.6792158813042 11.377001409544 9.4968948711728    0.6103664256413
 199104  9.6763748915835 11.380398361375 9.4990321518189    0.6052290099183
 199201  9.6863512808146 11.392271696339 9.5144656685642    0.6024878510498
 199202  9.6878187293677 11.391769557418 9.5201334601399    0.6007698889037
 199203  9.6890690097150 11.379143807657 9.5225128894286    0.6044743192887
 199204  9.6974052131407 11.380894922049 9.5379712274325    0.6031696077462
 199301  9.6971525243664 11.393506170445 9.5102661928474    0.6153859055685
 199302  9.6993147893663 11.395562986518 9.5295563182859    0.6055566821834
 199303  9.7049852124369 11.392092719759 9.5334346147969    0.6100022885720
 199304  9.7070290851687 11.400850078337 9.5436956830990    0.6033271760039
 199401  9.7127954572033 11.406090594174 9.5278360162008    0.6168356817152
 199402  9.7180676972344 11.400435154001 9.5396337707030    0.6168852784221
 199403  9.7194580010812 11.390290001829 9.5420583282841    0.6199455913088
 199404  9.7210573273035 11.395254089545 9.5486795025120    0.6161285448809
 199501  9.7245941606026 11.395959242334 9.5550612575445    0.6156906903243
 199502  9.7298013661874 11.418753863508 9.5526489583440    0.6153576071716
 199503  9.7311371648569 11.434913262009 9.5576380310529    0.6088194962182
 199504  9.7335703774120 11.455236347224 9.5601302728742    0.6035780619321
 199601  9.7393854269084 11.468229607773 9.5609136928160    0.6049635673968
 199602  9.7447863829662 11.486316261044 9.5641319923227    0.6029451639415
 199603  9.7479083434457 11.492784841757 9.5716075906389    0.5996879694417
 199604  9.7515979029720 11.499902961959 9.5739268704998    0.5998374730197
 199701  9.7569018506641 11.520711849856 9.5817763094598    0.5941626165263
 199702  9.7608123988181 11.522098428069 9.5874384106387    0.5943143051714
 199703  9.7692143361694 11.569337319187 9.5925206707842    0.5852959806618
 199704  9.7739103338045 11.600833962762 9.6003523919531    0.5757596460668
 199801  9.7813621886395 11.607940034710 9.6112913893339    0.5745974550900
 199802  9.7923760374703 11.656777929290 9.6162611870980    0.5677689665827
 199803  9.8015335793936 11.661755312264 9.6227294837869    0.5715961320777
 199804  -99             11.616370746825 -99                -99
